frase,tag
não consigo fazer ligação do meu fixo,reparar-linha
eu quero saber como é que eu faço pra conseguir um produto um aparelho do produto fixo,comprar-linha
adquirir uma nova linha,comprar-linha
como faço para solicitar conserto da minha linha telefônica,reparar-linha
o número está com ruído a ligação está com ruído,reparar-linha
quero cancelar o atendimento simultâneo,cancelar-servicos
eu estou com uma linha cruzada e não estou conseguindo fazer ligação,reparar-linha
eu quero saber porque que meu telefone está desligado sendo que está tudo pago,reparar-linha
o telefone tá com problema tá falando e de repente a fala é cortada não sei se o problema é interno ou externo,reparar-linha
quero retirar a secretaria eletrônica,cancelar-servicos
falha no telefone fixo,reparar-linha
plano de adesão do produto fixo,comprar-linha
quero que veja conserto na minha linha telefônica,reparar-linha
meu telefone tá desligado eu quero saber o por que,reparar-linha
transferência de telefone para endereço,mudar-endereco
eu deixei de pagar a conta eu esqueci de pagar,pagar-conta
o meu telefone está com defeito não está recebendo chamada,reparar-linha
é arrumar o telefone,reparar-linha
eu preciso que vocês vejam o porque que meu telefone só tá dando ocupado eu disco ele ele dá ocupado vocês cortaram o meu telefone é isso que eu quero saber,reparar-linha
não não consigo realizar chamadas,reparar-linha
minha linha está funcionando,reparar-linha
é que meu telefone não tá recebendo chamada,reparar-linha
eu gostaria de saber porque que a telefônica está dizendo que o meu telefone está temporariamente fora de serviço se eu não devo nada,reparar-linha
quero falar sobre mudança de endereço,mudar-endereco
quero fazer pagamento de dívida,pagar-conta
é gostaria de colocar uma linha na minha casa,comprar-linha
e uma nova linha telefônica,comprar-linha
não estou conseguindo fazer ligação externa,reparar-linha
problema da linha,reparar-linha
quero fazer o pagamento de uma conta,pagar-conta
eu quero reclamar um defeito no aparelho na minha linha,reparar-linha
saber sobre conta cancelada,cancelar-conta
é solicitação de conserto de telefone da linha telefônica que não está funcionando,reparar-linha
cancelar caixa postal,cancelar-servicos
concerto da linha trinta meia quatro cinco três nove meia,reparar-linha
ai meu telefone nem recebe nem faz ligação,reparar-linha
não telefone não faz ligação,reparar-linha
reparação nessa de telefone,reparar-linha
já tava fazendo um reparo na linha eu tava falando com atendente e a ligação caiu,reparar-linha
manutenção no produto fixo,reparar-linha
gostaria de contratar uma linha de telefone,comprar-linha
o meu telefone tá sem fazer ligação,reparar-linha
é que o telefone não tá atendendo chamada,reparar-linha
reparos na linha telefônicas,reparar-linha
como como faço para obter uma linha telefônica lazer,comprar-linha
o a minha a minha chamada é que eu tô sem telefone pra residência na linha,reparar-linha
eu desejava alô é o que eu desejo é que o telefone não está atendendo tá temporariamente fora de serviço,reparar-linha
eu paguei meu telefone até agora tá sem linha meu telefone quero saber que palhaçada é essa aí,reparar-linha
telefone está com barulho tá com chiado,reparar-linha
problemas na minha linha telefônica,reparar-linha
quero atualizar o endereço do telefone da linha,mudar-endereco
quero reparo em produto fixo,reparar-linha
quero saber que tá acontecendo na minha linha que não tô conseguindo fazer ligação,reparar-linha
como faço para solicitar linha fixa,comprar-linha
comprar comprar telefone de produto fixo,comprar-linha
o telefone está com linha cruzada,reparar-linha
quero saber como eu vou pagar a minha conta,pagar-conta
meu telefone não está fazendo ligação pra celular,reparar-linha
o meu telefone está pago não devo nada para a telefônica e o número se encontra temporariamente desligado,reparar-linha
quero ter uma linha telefônica,comprar-linha
a minha linha está travada,reparar-linha
mudar o endereço do meu telefone,mudar-endereco
defeito na ligação,reparar-linha
quero uma linha fixa produto fixo,comprar-linha
gostaria de outra linha de telefone,comprar-linha
não consigo telefonar do meu telefone,reparar-linha
como posso dar reparo na minha linha,reparar-linha
reparo na linha na linha,reparar-linha
quero fazer reclamação que fiz o pedido do mudança de endereço da minha linha e tem mais de dez dias faz dez dias hoje tem mais de dez dias e não foi feito,mudar-endereco
comprar produto produto fixo,comprar-linha
preciso falar no setor de reparo de linha,reparar-linha
eu quero saber sobre uma nova linha que eu pedi,comprar-linha
saber sobre o cancelamento de uma conta,cancelar-conta
fazer reparo na linha,reparar-linha
falar com um dos atendentes pra reparo na linha telefônica,reparar-linha
defeito na minha linha telefônica,reparar-linha
reparos linhas,reparar-linha
problemas na extensão,reparar-linha
é que o meu telefone não tá fazendo ligação pra fora de são paulo,reparar-linha
o meu telefone fixo produto está com defeito,reparar-linha
eu quero saber qual o motivo do defeito da minha linha só isso,reparar-linha
nenhum telefone está funcionando em são miguel arcanjo,reparar-linha
quero declaração de débitos quitados,pagar-conta
quero falar sobre problema na minha linha,reparar-linha
reparo na linha do produto fixo,reparar-linha
eu quero reparo da linha telefone,reparar-linha
não tá atendendo o telefone só faz ligação,reparar-linha
efetuar pagamento de contas atrasadas,pagar-conta
contas a pagar débitos,pagar-conta
estou com problema na linha quero quero saber a solução,reparar-linha
a minha linha não está conectando,reparar-linha
meu telefone está sem voz meu telefone não tá pegando mais tá sem linha,reparar-linha
como eu faço pra poder ter uma correspondência da telefônica,comprar-linha
tá com problema pra acessar a linha só dá ocupado gostaria de um técnico,reparar-linha
desejo transferência de endereço,mudar-endereco
eu quero saber porque que o telefone esta com um chiado forte não conseguimos até nem falar direito,reparar-linha
comunicação de mudança de endereço,mudar-endereco
quero solicitar uma linha telefônica e saber sobre planos,comprar-linha
mudanças de endereço,mudar-endereco
eu quero é é é fazer um telefone fixo aqui pra casa,comprar-linha
como faço pra solicitar mudança de endereço,mudar-endereco
é a minha conta está paga e eu continuo a receber cobranças,pagar-conta
consertar a linha do telefone,reparar-linha
como pagar minha conta,pagar-conta
consertar o telefone,reparar-linha
telefone dando ocupado,reparar-linha
telefone telefone de casa não está funcionando problema é na linha,reparar-linha
como faço para pedir telefone,comprar-linha
é conserto de extensão,reparar-linha
queria comprar uma linha telefônica,comprar-linha
preciso ver preciso que venha ver minha linha telefônica que eu tô sem telefone,reparar-linha
gostaria de falar com algum algum atendente sobre uma carta que eu recebi sobre adquirir uma linha telefônica na minha residência,comprar-linha
a minha linha tá desligada eu quero saber o que esta acontecendo eu fiz a reclamação mais meu marido disse para renovar,reparar-linha
eu desejo cancelar uma conta de secretária light que esta vindo na minha conta de telefone,cancelar-servicos
eu desejo o meu telefone não tá fazendo ligação,reparar-linha
eu o meu telefone não está fazendo ligações,reparar-linha
já paguei a conta e veio a conta de novo pra mim pagar,pagar-conta
cancelamento da secretária digital,cancelar-servicos
atraso de pagamento,pagar-conta
quero saber como resolver o problema de linha,reparar-linha
linha cruzada não consigo fazer receber ligação,reparar-linha
defeito na linha defeito na linha,reparar-linha
reparo da do produto fixo,reparar-linha
quero saber se a linha foi cortada,reparar-linha
comprar linhas telefônicas,comprar-linha
manutenção no telefone residencial,reparar-linha
meu telefone esta cortado,reparar-linha
um o telefone não está fazendo chamadas,reparar-linha
é a santa casa de jonópolis telefone um nove dois esse telefone não está funcionando,reparar-linha
quero saber porque o meu telefone não está recebendo a chamada,reparar-linha
reparo das linha da linha,reparar-linha
eu preciso saber é porque eu estou sem créditose meu telefone é fixo eu tenho a linha econômica,reparar-linha
o telefone da minha residência está com defeito,reparar-linha
eu quero saber sobre essa nova linha de,comprar-linha
saber de um problema que aconteceu no meu telefone,reparar-linha
é a minha linha está bloqueada eu só tô recebendo,reparar-linha
não tá fazendo ligação só tá recebendo,reparar-linha
assistência de linha,reparar-linha
problema na linha,reparar-linha
eu gostaria de saber porque a minha linha está sem funcionar,reparar-linha
é conserto no telefone,reparar-linha
gostaria de pedir uma linha telefônica,comprar-linha
mudança de endereço da internet box,mudar-endereco
é reparo na linha bem,reparar-linha
quero liquidar a minha divida,pagar-conta
reparo do aparelho fixo da linha fixa,reparar-linha
fazer transferência de endereço,mudar-endereco
quero ter uma linha nova,comprar-linha
transferência de endereço a linha,mudar-endereco
gostaria de saber se o número está cortado,reparar-linha
quero saber como faz pra mudar de endereço,mudar-endereco
é pra ser bloqueado esse telefone que até agora não já foi ligado aí pra ser bloqueado,reparar-linha
solicitação que não foi realizada de mudança de endereço,mudar-endereco
eu quero solicitar uma linha econômica,comprar-linha
compras de linha,comprar-linha
gostaria de saber como faço para pedir o desligamento da linha telefônica e transferência para outro endereço,mudar-endereco
meu telefone o meu telefone está com defeito,reparar-linha
como faço para adquirir para minha linha ficar econômica o vinte e um,comprar-linha
não está recebendo ligação,reparar-linha
linha telefônica não está funcionando,reparar-linha
estou com problema no número do telefone,reparar-linha
quero consertar a linha telefônica,reparar-linha
meu telefone não faz ligação para zero novecentos,reparar-linha
revisão na linha,reparar-linha
eu desejo reparo do telefone,reparar-linha
porque que meu telefone está desligado nem internet funciona,reparar-linha
meu telefone não tá respondendo quando,reparar-linha
compra de linhas,comprar-linha
meu telefone está dando sinal de ocupado,reparar-linha
telefone está é fora de,reparar-linha
manutenção em minha linha telefônica,reparar-linha
quero saber como fazer para pagar a conta,pagar-conta
quero saber porque não tô podendo fazer ligação local,reparar-linha
quero quitar débito com telefônica,pagar-conta
problema na linha manutenção,reparar-linha
quero reativar o meu número,comprar-linha
quero adquirir um telefone fixo,comprar-linha
fixo quebrado,reparar-linha
eu tô querendo fazer a ligação com o zero quinhentos e não estou conseguindo,reparar-linha
sobre o cancelamento de uma conta,cancelar-conta
conserto do telefone,reparar-linha
é reparo da linha telefônica,reparar-linha
é o que eu quero é é comprar uma linha residencial uma linha residencial eu quero comprar ver uma residencial né ver uma linha residencial pra mim,comprar-linha
sinal ele está piscando,reparar-linha
eu quero eu quero reparo na linha um reparo na linha,reparar-linha
retirar a conta que está paga da internet,pagar-conta
é ver é reparo de linha,reparar-linha
verificar danos ou reparos em minha linha telefônica,reparar-linha
reparar a linha de telefone,reparar-linha
eu quero uma linha pré-paga quero conversar sobre uma linha pré-paga,comprar-linha
saber porque meu telefone não está ligando,reparar-linha
é reclamar que não está aparecendo a indentificação na minha linha de telefone,reparar-linha
como que eu posso pedir uma linha telefônica,comprar-linha
quero comprar uma linha fixa,comprar-linha
cancelamento de serviço na minha conta,cancelar-servicos
como que eu faço para ter uma linha telefônica,comprar-linha
como faço para solicitar outra linha,comprar-linha
eu gostaria de possuir a linha telefônica ace,comprar-linha
consertar o telefone que está com defeito,reparar-linha
eu desejo a minha conta para eu poder pagar,pagar-conta
quero comprar uma nova linha telefônica,comprar-linha
problema na rede telefone,reparar-linha
desejo solicitar a linha i telefônica ilimitada trinta reais por mês,comprar-linha
a eu desejo arrumar o telefone o quarenta e cinco treze dez noventa tá,reparar-linha
não consigo fazer uma ligação,reparar-linha
quero solicitar vistoria na minha linha,reparar-linha
o o telefone tá ruim,reparar-linha
solicitar o técnico aqui em casa pra ligar o internet,vago-visitaTecnica
defeito no meu telefone,reparar-linha
quero falar com um dos atendente sobre reparo de linha telefônica,reparar-linha
minha linha está com ruído quero verificação na parte externa,reparar-linha
quero saber o valor de transferência de endereço,mudar-endereco
é falar no setor três telefone para reparo,reparar-linha
quero pagar a minha conta,pagar-conta
agendamento de técnico produto internet,vago-visitaTecnica
olha a telefônica tá ligando dizendo que vai cortar o telefone mas tá pago eu tenho prova que tá pago,reparar-linha
quero saber porque o telefone está cortado,reparar-linha
verificar mudança de endereço,mudar-endereco
é que teve porque meu telefone não funciona eu tô vou pagar uma coisa que não funciona,reparar-linha
quero saber porque a i telefônica tá entrando tão baixo,reparar-linha
saber se número telefone foi trocado,reparar-linha
como realizar ligação nesse telefone,reparar-linha
motiva é cancelamento de serviço de,cancelar-servicos
o meu telefone não tá fazendo ligação e a conta já foi paga,pagar-conta
quero saber que a minha linha tá cruzada,reparar-linha
não consigo fazer ligações tem linha cruzada,reparar-linha
transferência de domicílio,mudar-endereco
por qual motivo não consigo realizar chamadas,reparar-linha
que a minha linha volte a funcionar,reparar-linha
quero saber se o número de um telefone está com problema,reparar-linha
eu quero pedir uma nova linha telefônica,comprar-linha
minha meu telefone está desligado,reparar-linha
já paguei a minha conta como faço pra saber se tá paga ou não,pagar-conta
minha linha não está fazendo ligações,reparar-linha
um telefone que fizeram a ligação hoje ligaram para o vizinho e desligaram a minha linha,reparar-linha
é quero quero quero saber a minha conta tá paga e eles mandaram uma outra de fevereiro com os acertos que eu fiz e tá junto na segunda via e não tem como pagar uma de nove sete e sete um tá paga do mês quatro e tá junto na segunda via quero,pagar-conta
conserto de produto fixo de outra linha,reparar-linha
o telefone meu tá fora do ar,reparar-linha
quero falar sobre problemas no meu telefone,reparar-linha
quero fazer o pedido de uma nova linha telefônica,comprar-linha
meu telefone não estou conseguindo fazer chamada,reparar-linha
porque eu já liguei várias vezes ficou de ir alguém pra arrumar minha linha até agora ninguém foi eu quero reclamar,reparar-linha
reparo na na linha,reparar-linha
o reparo pra linha não é pra essa linha que estou ligando dessa linha que estou ligando é pra uma outra linha,reparar-linha
como faço para comprar o telefone cadu,comprar-linha
arrumar meu telefone que tá quebrado,reparar-linha
verificar porque que meu telefone não funciona,reparar-linha
a minha linha não funciona,reparar-linha
conserto na linha na linha,reparar-linha
pedir uma rede telefone,comprar-linha
reparo dada produto fixo,reparar-linha
a minha linha tá cortada,reparar-linha
o telefone não faz ligação,reparar-linha
quero solicitar manutenção na minha linha,reparar-linha
quero ligar uma linha telefônica,comprar-linha
é sobre um reparo aqui na minha linha telefone,reparar-linha
telefone cortado,reparar-linha
eu quero adquirir uma linha,comprar-linha
a eu quero que você venha consertar aqui mandar aqui pra ver o que que tá acontecendo com meu telefone fixo,reparar-linha
é pra alguém venha ver a linha do telefone que tá com um que o telefone não tá funcionando,reparar-linha
quero comprar uma linha,comprar-linha
cancelamento da conta do despertador,cancelar-conta
aparelho com defeito,reparar-linha
queria cancelar essa conta,cancelar-conta
eu quero saber por que minha linha não está ligando,reparar-linha
reparo na linha reparo eu quero reparo na minha linha,reparar-linha
recebi uma ligação de vocês que eu tenho uma conta em atraso eu gostaria de ver essa conta pra efetuar o pagamento,pagar-conta
não posso fazer ligações só recebo ligações,reparar-linha
quero transferir a minha conta telefônica meu meu telefone pra outro endereço,mudar-endereco
é reparo reparo na minha linha,reparar-linha
manutenção na linha,reparar-linha
eu gostaria de saber se minha conta com vencimento em vinte e quatro do seis de dois mil e nove foi paga,pagar-conta
eu quero reclamar de um produto no qual eu não fiz o pedido,cancelar-servicos
serviços técnicos concerto de telefone,reparar-linha
eu não estou conseguindo fazer ligações,reparar-linha
informação de telefone cortado,reparar-linha
problema na linha conserto,reparar-linha
ligação de de telefone cortado,reparar-linha
é sobre é a linha telefone não tá funcionando,reparar-linha
meu telefone não esta fazendo ligação,reparar-linha
quero saber porque meu telefone tá fora de sistema,reparar-linha
é qual a pendência que eu tenho na conta telefônica se eu paguei a conta do mês passado,pagar-conta
minha linha não recebe sinal,reparar-linha
solicitação técnica,vago-visitaTecnica
é a linha tá chiando,reparar-linha
eu quero saber porque que meu telefone não faz ligações,reparar-linha
quero assistência técnica assistente técnico pra consertar meu telefone,reparar-linha
é reparo em linha telefônica,reparar-linha
quero arrumar o telefone de casa estragou,reparar-linha
eu quero cancelar outros serviços,cancelar-servicos
como fazer para pedir um telefone,comprar-linha
reparo do número residencial telefone fixo,reparar-linha
pagamento pagamento pendente,pagar-conta
é não consigo fazer ligações,reparar-linha
reparo de linha externa,reparar-linha
tô com problema de linha cruzada que eu já não tô aguentando mais,reparar-linha
desejo solicitar linha convencional,comprar-linha
quero solicitar o cancelamento tele da minha secretária eletrônica light,cancelar-servicos
eu preciso fazer uma ligação e não tô conseguindo com uma bota de um de um negócio que tem aqui na minha linha meu telefone não tá com problema,reparar-linha
é falar sobre pagamento de conta,pagar-conta
foi trocado o meu telefone,reparar-linha
eu quero cancelar a minha conta,cancelar-conta
conserto pro telefone,reparar-linha
meu telefone não esta fazendo ligação para celular,reparar-linha
pagar uma conta de dois mil e sete,pagar-conta
meu telefone está com linha cruzada,reparar-linha
não recebi a visita do técnico,vago-visitaTecnica
eu queria saber porque que minha linha não tá funcionando ainda,reparar-linha
alô quero fazer uma reclamação do meu telefone que tá quebrado,reparar-linha
eu quero saber porque que não ligam o meu telefone que já faz três dias que paguei meu telefone e estou sem telefone ainda,reparar-linha
eu quero que tirem a secretária eletrônica que eu não pedi pra colocar no meu telefone,cancelar-servicos
informações para quitar dívida,pagar-conta
comprar produto linha,comprar-linha
defeito do telefone da linha,reparar-linha
reparo no meu produto fixo,reparar-linha
quero saber por que minha telefone não está funcionando,reparar-linha
conserto na minha linha,reparar-linha
é tinha um técnico ajudar agendado pra vir visita pra ver o internet e não veio,vago-visitaTecnica
quero cancelar esse essa conta,cancelar-conta
tá acusando no meu telefone que eu não tenho saldo suficiente para fazer a ligação,reparar-linha
é que quando eu vou fazer uma ligação minha vizinha está usando o telefone tá dando interferência eu estou escutando ela conversar no telefone dela e fico sem linha no meu telefone,reparar-linha
saber se o número está com problemas,reparar-linha
é quero saber que que tá acontecendo na minha linha que não consigo falar com a telefonista de santa catarina a três dias que eu ligo e dá ocupado direto eu quero saber se tá tendo algum problema ou na minha linha ou na linha lá de santa catarina um zero dois,reparar-linha
eu liguei para central a poucas horas e falaram que meu telefone tá desligado por falta de pagamento,reparar-linha
gostaria de cancelar minha conta de telefone,cancelar-conta
eu quero comprar uma linha telefônica e econômica,comprar-linha
reparo na linha no terminal da linha telefônica,reparar-linha
cancelar os produtos da minha conta,cancelar-conta
eu gostaria de ter uma linha produto fixo,comprar-linha
não consigo falar do meu telefone está a sem linha,reparar-linha
dúvidas em pagamento,pagar-conta
gostaria como faço pra arrumar uma linha da produto,reparar-linha
conserto do meu do meu da minha linha,reparar-linha
quero informar sobre conserto de linha estou se linha,reparar-linha
eu tô com problema na minha linha telefone,reparar-linha
eu quero resolver um problema que meu telefone tá parado,reparar-linha
eu quero transferir a minha linha para outro endereço,mudar-endereco
saber porque o o telefone cinquenta meia um cinquenta meia dois dois dezoito não está funcionando,reparar-linha
quero ligação no telefone,reparar-linha
reparo na linha telefônica de outro número,reparar-linha
quero cancelar doctor internet,cancelar-servicos
eu desejo um técnico para arrumar a o meu telefone dentro de casa,reparar-linha
o telefone está com problemas de contato,reparar-linha
cancelamento de créditos,cancelar-conta
eu queria é algum serviços prestado pela telefônica como por exemplo tarifas e,cancelar-servicos
quero saber o motivo da minha linha estar desligada,reparar-linha
desejo qual o motivo que o meu telefone não está fazendo ligação e nem recebendo,reparar-linha
a linha não esta funcionando,reparar-linha
o telefone tá com problema,reparar-linha
falar da minha meu telefone cortado,reparar-linha
eu desejo saber qual motivo do defeito na minha linha,reparar-linha
é o meu telefone tá com problema na linha eu quero reparo ele tá mudo,reparar-linha
eu desejo conserto na linha que o meu telefone não está funcionando,reparar-linha
tenho linha controle e não consigo não consigo realizar chamadas,reparar-linha
como faço pra solicitar uma nova linha telefônica,comprar-linha
quero uma linha residencial,comprar-linha
transferência é mudança de endereço,mudar-endereco
é meu telefone não toca,reparar-linha
pedir o conserto da linha,reparar-linha
é a respeito de uma nova linha telefônica,comprar-linha
reparo em produto fixo,reparar-linha
não estou conseguindo utilizar a minha linha,reparar-linha
mandando um técnico no local pra ver o que tá acontecendo com o telefone,reparar-linha
eu não está ou conseguindo fazer ligações eu preciso de um reparo no meu telefone na minha linha,reparar-linha
como faço para solicitar a linha econômica,comprar-linha
eu quero comprar uma linha econômica,comprar-linha
minha linha tá cortada e já tá paga a conta eu quero saber porque que ela tá cortada já foi paga no sábado,pagar-conta
gostaria de adquirir uma linha de telefone,comprar-linha
queria eu queria saber se o telefone meu tá cortado,reparar-linha
quero mudar de endereço o telefone,mudar-endereco
meu telefone está com interferência de uma rádio eu quero que melhore,reparar-linha
pra solicitar linha,comprar-linha
quero possuir uma linha telefônica residencial,comprar-linha
aquisição de linha telefônica e portabilidade,comprar-linha
eu quero saber como liga o telefone dentro de casa porque tá ligaram até o poste e dentro de casa tá,reparar-linha
é que eu ligo pra fora e não recebo a ligação,reparar-linha
defeito na programação da linha,reparar-linha
o telefone não faz ligações,reparar-linha
problema na linha de telefone,reparar-linha
situação do telefone aqui que não recebe,reparar-linha
eu queria um telefone produto fixo,comprar-linha
defeito na minha linha,reparar-linha
eu desejo falar com um técnico e o telefone está com problema,reparar-linha
obter uma linha fixa,comprar-linha
o telefone está ruim,reparar-linha
informações de cancelamento de conta,cancelar-conta
reagendar a data da visita do técnico do internet,vago-visitaTecnica
meu telefone não tá funcionando de novo,reparar-linha
só estou recebendo ligação não consigo fazer a ligação,reparar-linha
pagamento da conta de junho,pagar-conta
cobrança de conta paga,pagar-conta
to esperando o rapaz da telefônica ver meu telefone que está com defeito desde ontem não veio,reparar-linha
quero cancelamento de serviços,cancelar-servicos
telefone residencial com defeito,reparar-linha
alô quero quero saber porque estão cobrando se as minha contas estão pagas,pagar-conta
clonagem de linha,reparar-linha
o meu telefone está com defeito sua puta,reparar-linha
quero que conserte meu telefone reparo na minha linha,reparar-linha
problema com a linha,reparar-linha
é sobre a mudança de endereço se houve ou não do meu telefone,mudar-endereco
é como eu posso pagar a minha conta,pagar-conta
como eu faço para ter uma linha de telefone,comprar-linha
problemas com o telefone,reparar-linha
mudança da linha telefônica endereço,mudar-endereco
produto fixo comprar produto fixo,comprar-linha
acontece o seguinte o meu número está caindo em outra casa,reparar-linha
porque eu desejo o telefone que é transferência de linha pra outro endereço,mudar-endereco
tenho que discar zero um cinco mas disco zero um cinco mas,reparar-linha
tô sem telefone,reparar-linha
desejo uma nova linha telefônica,comprar-linha
produto é reparo no produto fixo,reparar-linha
eu quero que ligue meu telefone está a uma semana ligado na rua e não consigo ligar,reparar-linha
não eu quero saber porque estão mandando cobrança pra mim se a minha conta está paga,pagar-conta
verificar minha linha se tá tendo algum problema na minha linha telefônica,reparar-linha
não to conseguindo fazer ligação só dá ocupado qualquer número,reparar-linha
quero saber porque que o meu aparelho não está é,reparar-linha
eu preciso fazer a reclamação dessa linha porque as pessoas não tão conseguindo ligar,reparar-linha
não tô conseguindo fazer ligações,reparar-linha
telefone não está a funcionando está ligando e tá dando ocupado queria saber o motivo,reparar-linha
eu quero fazer um conserto na linha,reparar-linha
quero um reparo na minha linha,reparar-linha
telefone não tá conectando não tá pegando,reparar-linha
arrumar uma linha telefônica,reparar-linha
quero comprar outra linha telefônica,comprar-linha
quero transferir a linha para outro endereço,mudar-endereco
eu quero um conserto numa linha telefônica,reparar-linha
quero um reparo na linha com,reparar-linha
linha com defeito barulho na linha,reparar-linha
o telefone com defeito,reparar-linha
desativar o serviço de despertador,cancelar-servicos
quero cancelar serviço de assistência de manutenção da telefônica,cancelar-servicos
quero solicitar um conserto de um telefone de ou,reparar-linha
cancelar as contas telefônica,cancelar-conta
sobre cancelamento de uma conta,cancelar-conta
reparo na linha de meu telefone,reparar-linha
sinal da linha telefônica,reparar-linha
eu quero uma pra fazer o pedido de uma linha residencial,comprar-linha
reparar uma linha,reparar-linha
reparação de linha,reparar-linha
é telefone fixo sem linha,reparar-linha
adquirir a linha controle,comprar-linha
saber se tem algum defeito com o telefone,reparar-linha
eu desejo porque meu telefone não tá fazendo ligação só tá recebendo,reparar-linha
solicitar conserto de linha telefônica,reparar-linha
o meu telefone tá com muito chiado,reparar-linha
desejo adquirir uma uma linha telefônica,comprar-linha
compra de linha residencial,comprar-linha
desejo tirar o telefone da caixa postal,cancelar-servicos
estou ligando por motivo de reclamação que não tá funcionando meu telefone,reparar-linha
quero saber o que tá acontecendo com meu telefone porque tá um chiado tem hora que não dá linha,reparar-linha
quero saber porque meu telefone não tá recebendo ligação alias não estou fazendo ligação do meu telefone,reparar-linha
minha linha tá sem sinal,reparar-linha
não a minha linha ela tá desligada,reparar-linha
contratar uma linha telefônica,comprar-linha
desejo ver o caso do meu telefone não está funcionando eu acho que a linha da rua tá com problema,reparar-linha
eu quero uma linha telefônica economica como e que eu faço para entrar em contato com vocês,comprar-linha
adquirir nova linha,comprar-linha
a minha chamada é que eu quero reparo reparo da linha telefônica,reparar-linha
reparo na linha anda logo,reparar-linha
mandar um técnico que minha linha tá parado,reparar-linha
é nova linha telefônica,comprar-linha
cobrança e contas que já foram paga,pagar-conta
eu quero saber quem foi que reclamou que o meu telefone esse número estava com defeito,reparar-linha
eu só quero ver um problema que está ocorrendo na minha linha telefônica,reparar-linha
quero a fatura telefônica pra pagamento,pagar-conta
eu quero eu gostaria de pedir outra linha de telefone,comprar-linha
reparo da linha reparo na linha,reparar-linha
queria reclamar sobre o meu telefone quatro zero três dois oito cinco oito sete que tá desligado,reparar-linha
quero efetuar pagamento de conta pendente,pagar-conta
preciso fazer uma mudança de endereço telefone,mudar-endereco
meu motivo é que minha linha tá tá sem sinal desde anteontem,reparar-linha
meu telefone meu telefone está com problema,reparar-linha
eu quero saber porque minha linha está com problema,reparar-linha
problema no telefone não tô conseguindo fazer ligação,reparar-linha
quero saber se eu posso pagar o mês que vem a minha conta de agora,pagar-conta
a minha linha está ruim tá com chiado,reparar-linha
pagar pagar conta,pagar-conta
o meu telefone não toca não está funcionando,reparar-linha
falar sobre linha cruzada,reparar-linha
a minha linha está ruim demais,reparar-linha
mudança de endereço produto internet,mudar-endereco
quero uma linha telefônica para minha casa,comprar-linha
linha três g não tá funcionando,reparar-linha
eu quero saber cancelamento de conta,cancelar-conta
saber se foi cancelado a conta telefônica,cancelar-conta
quero uma um telefone fixo produto fixo,comprar-linha
linha ocupada,reparar-linha
produto fixo com defeito,reparar-linha
conserto da linha da minha linha conserto do telefone,reparar-linha
transferência da linha para o novo endereço,mudar-endereco
cancelar uma conta cancelar os boletos que eu fiz pra fazer pra pagar todo mês o produto,cancelar-conta
eu quero saber por que que eu não posso fazer ligação do meu telefone,reparar-linha
eu já falei o problema que eu não consigo fazer ligação,reparar-linha
quero saber porque o sistema de internet foi cortado na minha linha,reparar-linha
can cancelamento da conta do telefone,cancelar-conta
muito ruído no telefone,reparar-linha
con e desligaram meu telefone,reparar-linha
conserto da linha residencial,reparar-linha
queria mudar é o endereço da linha,mudar-endereco
falar com atendente que eu tava falando do outro mas eu tive que ligar de um outro aparelho é sobre reparo,reparar-linha
eu gostaria de um técnico para a linha,reparar-linha
é que meu telefone não tá fazendo ligação e nem recebendo,reparar-linha
quero saber porque eu não tô conseguindo carregar o meu telefone,reparar-linha
eu que eu paguei minhas conta ontem queria saber quando vai ser ligado meu telefone,pagar-conta
quero saber sobre tarifas que vem cobradas no meu telefone,reparar-linha
eu queria uma aquisição de uma linha,comprar-linha
verificação de problema na linha,reparar-linha
quero saber porque meu telefone tá,reparar-linha
pra pagar de volta,pagar-conta
meu telefone não está recebendo e eu preciso dele,reparar-linha
olha e o seguinte meu telefone eu só consigo,reparar-linha
eu quero arrumar minha linha telefônica que tá falando liga uma pessoa em casa e conversa três quatro pessoas ao mesmo tempo,reparar-linha
quero uma linha pra residência,comprar-linha
suporte produto fixo,reparar-linha
reparo produto fixo residencial,reparar-linha
eu tenho um telefone fixo em casa só que o telefone não tá funcionando eu gostaria de saber como eu faço pra que um funcionário possa arrumar pra mim mesmo que eu posso pagar o pelo trabalho dele,reparar-linha
o meu telefone não está recebendo ligação,reparar-linha
como desligar a secretária eletrônica,cancelar-servicos
não consigo receber ligação,reparar-linha
eu quero falar sobre minha linha com um dos atendente que tá com problema,reparar-linha
ter a linha telefônica,comprar-linha
o meu telefone não está recebendo só tá fazendo ligações não recebe,reparar-linha
eu desejo uma linha,comprar-linha
quero solicitar um reparo na minha linha,reparar-linha
a linha tá com problema,reparar-linha
meu telefone está com problema,reparar-linha
pra outro endereço,mudar-endereco
comprar comprar comprar comprar linha telefônica,comprar-linha
outros conserto de telefone,reparar-linha
minha linha está ruim,reparar-linha
fazer reparação na linha,reparar-linha
não consigo fazer nenhuma chamada,reparar-linha
problemas no telefone,reparar-linha
pra reparos meu telefone tá com problemas,reparar-linha
como faço para fazer uma reclamação de cancelamento de serviço,cancelar-servicos
estou com problemas na minha linha telefônica,reparar-linha
quero solicitar conserto do número que eu disquei,reparar-linha
resolver problema na minha linha,reparar-linha
telefone cortado por falta de pagamento,reparar-linha
